history_item,tag_id,timestamp
27238,306,737315415.779425
27246,307,737315722.192811
27256,308,737317747.192768
27341,15,737399875.213756
26618,15,737415332.077629
27447,15,737415395.000228
26949,309,737474006.406096
27507,310,737484584.258852
27542,311,737502151.715979
27576,312,737562459.000187
27620,58,737569984.55478
27789,313,737586708.838464
27800,5,737664689.739515
27870,314,737665734.10936
27874,314,737666004.196592
27872,314,737666026.719546
27973,315,737675197.468937
27978,316,737675261.555341
27986,15,737910985.544485
